image,split,source,strat_key
001d0529-0140_007.png,test,real,class_1
00c37598-0151_180.png,test,real,class_1
03dbe127-Doc_table_496.png,test,real,class_1
08349e2f-20_bordered_tables_page-0012.jpg,test,real,class_0
09d75778-1040_032.png,test,real,class_1
0a077263-0151_208.png,test,real,class_1
0d87a1d5-20_bordered_tables_page-0016.jpg,test,real,class_0
0dafd18f-Doc_table_499.png,test,real,class_0
10f53f38-1164_010.png,test,real,negative
12447e4f-0626_005.png,test,real,class_1
14442948-0203_075.png,test,real,class_1
17f0c9c7-0140_007.png,test,real,class_1
1edbf3a8-0148_271.png,test,real,class_1
1fe54ba7-Doc_table_107.png,test,real,class_0
20088b20-Doc_table_152.png,test,real,class_0
21303d54-1624_063.png,test,real,class_1
24d06a63-0146_281.png,test,real,class_1
26ef72f9-Doc_table_23.png,test,real,class_0
2701c8cf-Doc_table_455.png,test,real,class_0
28794723-1384_097.png,test,real,class_1
2a2e7ef4-1368_074.png,test,real,class_1
2b7e04af-Doc_table_458.png,test,real,class_1
2c3d6889-0146_281.png,test,real,class_1
33c009a7-1486_156.png,test,real,class_1
35a1a84f-Doc_table_20.png,test,real,class_0
37b30700-Screenshot_2026-06-16_180713.png,test,real,class_0
3c97ac51-20_bordered_tables_page-0003.jpg,test,real,class_0
3f5f4b58-Doc_table_6_-_Copy.png,test,real,class_1
3f8bce1e-1132_108.png,test,real,class_1
402c8235-1063_086.png,test,real,class_1
406a1002-1194_021.png,test,real,class_1
4ad34631-20_bordered_tables_page-0015.jpg,test,real,class_0
4fd8dca0-1063_086.png,test,real,class_1
510cfae3-1852_024.png,test,real,class_1
5268ba6b-Doc_table_463.png,test,real,class_1
561fcc5e-0113_013.png,test,real,negative
56893478-Doc_table_66.png,test,real,class_0
56bbcc6a-Doc_table_80.png,test,real,class_0
570017d3-Doc_table_459.png,test,real,class_1
5892417d-20_bordered_tables_page-0013.jpg,test,real,class_0
58cec50e-Doc_table_0.png,test,real,class_0
5a762b30-Doc_table_8_-_Copy.png,test,real,class_0
5d2af43e-0110_099.png,test,real,class_1
67f0e15d-Doc_table_81.png,test,real,class_0
6816adac-1464_021.png,test,real,negative
6b61ba64-Doc_table_34.png,test,real,class_1
6f2d59ba-0113_013.png,test,real,negative
6fbac16a-0151_208.png,test,real,class_1
73da2af3-Doc_table_32.png,test,real,class_0
75fbc2ce-Doc_table_1.png,test,real,class_0
795a9889-Doc_table_16.png,test,real,class_1
7d3dfb35-1289_014.png,test,real,class_1
835f4bb4-Doc_table_82.png,test,real,class_1
855df82e-Doc_table_57.png,test,real,class_1
86023f5d-0101_003.png,test,real,negative
894b22d4-2029_489.png,test,real,class_1
90d41198-1078_082.png,test,real,class_1
911cce90-0154_474.png,test,real,class_1
9830680b-20_bordered_tables_page-0005.jpg,test,real,class_0
98e1c078-Doc_table_78.png,test,real,class_0
9b54c3dd-20_bordered_tables_page-0011.jpg,test,real,class_0
9c67397d-1175_032.png,test,real,class_1
9cad2fc3-20_bordered_tables_page-0020.jpg,test,real,class_0
