epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.907,1.00258,2.03841,1.22724,0.76773,0.6572,0.76544,0.52641,1.00999,2.06017,1.33243,0.000552773,0.000552773,0.000552773
2,787.882,1.0084,1.56067,1.22995,0.84391,0.67443,0.79304,0.58235,1.00187,1.68534,1.29423,0.00109747,0.00109747,0.00109747
3,1180.02,1.01026,1.35653,1.21188,0.62698,0.59616,0.66141,0.4479,1.0753,2.20105,1.45863,0.00163116,0.00163116,0.00163116
4,1573.38,0.95895,1.23081,1.18911,0.79406,0.78613,0.82594,0.60282,1.00404,1.50467,1.29462,0.00161749,0.00161749,0.00161749
5,1957.08,0.93829,1.07246,1.1785,0.86712,0.78733,0.86419,0.63196,0.991,1.13721,1.2677,0.00160099,0.00160099,0.00160099
6,2337.47,0.90558,0.99321,1.1536,0.86975,0.74537,0.84085,0.61658,0.93543,1.17491,1.24747,0.00158448,0.00158448,0.00158448
7,2713.19,0.90574,0.90799,1.15761,0.86101,0.88908,0.90902,0.67043,0.882,0.91457,1.21002,0.00156798,0.00156798,0.00156798
8,3095.06,0.89172,0.86866,1.14121,0.83601,0.81053,0.87553,0.6678,0.85448,0.93204,1.1918,0.00155148,0.00155148,0.00155148
9,3487.16,0.84976,0.81194,1.13158,0.91838,0.86392,0.9407,0.72079,0.80254,0.80544,1.15106,0.00153497,0.00153497,0.00153497
10,3886.1,0.8249,0.76651,1.12101,0.8952,0.84622,0.91728,0.69991,0.85206,0.79471,1.16529,0.00151847,0.00151847,0.00151847
11,4281.27,0.84138,0.77538,1.1118,0.88573,0.89228,0.93463,0.71738,0.82329,0.79974,1.17541,0.00150197,0.00150197,0.00150197
12,4673.09,0.80801,0.72533,1.09808,0.86569,0.87942,0.91435,0.69484,0.87642,0.81145,1.21664,0.00148546,0.00148546,0.00148546
13,5062.87,0.79241,0.68902,1.08094,0.88101,0.92741,0.95006,0.73808,0.77621,0.6636,1.11838,0.00146896,0.00146896,0.00146896
14,5485.5,0.82724,0.71009,1.1047,0.90515,0.8881,0.94405,0.74705,0.77874,0.68588,1.11583,0.00145246,0.00145246,0.00145246
15,5862.03,0.78753,0.68927,1.09474,0.91886,0.90026,0.94714,0.75589,0.73958,0.63317,1.09611,0.00143595,0.00143595,0.00143595
16,6242.25,0.81301,0.64796,1.10243,0.9284,0.9007,0.94761,0.74587,0.78244,0.63933,1.12485,0.00141945,0.00141945,0.00141945
17,6616.94,0.78553,0.64905,1.08365,0.93609,0.90828,0.95094,0.75124,0.74948,0.61257,1.11041,0.00140295,0.00140295,0.00140295
18,7019.68,0.75646,0.61436,1.07059,0.93925,0.89569,0.95474,0.76847,0.71449,0.60154,1.07116,0.00138644,0.00138644,0.00138644
19,7465.9,0.76485,0.61725,1.08076,0.89096,0.93494,0.94239,0.73609,0.7695,0.60123,1.12936,0.00136994,0.00136994,0.00136994
20,7870.02,0.77125,0.6246,1.07771,0.94426,0.90839,0.95438,0.77633,0.69272,0.59092,1.0556,0.00135344,0.00135344,0.00135344
